year,month,day,temp
2014,6,17,21.7
2014,6,18,20.4
2014,6,19,22.3
2014,6,20,23.5
2014,6,21,23.3
2014,6,22,21.3
2014,6,23,22.5
2014,6,24,21.6
2014,6,25,23.6
2014,6,26,23.7
2014,6,27,23.2
2014,6,28,23
2014,6,29,22.8
2014,6,30,22.8
2014,7,1,24.8
2014,7,2,24.9
2014,7,3,21.2
2014,7,4,23.3
2014,7,5,22.2
2014,7,6,23.1
2014,7,7,23.7
2014,7,8,26.6
2014,7,9,27.3
2014,7,10,25.5
2014,7,11,25.8
2014,7,12,26
2014,7,13,24.1
2014,7,14,24.8
2014,7,15,26.5
2014,7,16,27.8
2014,7,17,27.6
2014,7,18,26.6
2014,7,19,23.7
2014,7,20,24.6
2014,7,21,26
2014,7,22,27
2014,7,23,27.5
2014,7,24,28.6
2014,7,25,29.5
2014,7,26,29.4
2014,7,27,27
2014,7,28,25
2014,7,29,26.3
2014,7,30,28.3
2014,7,31,28.5
2014,8,1,28
2014,8,2,25.5
2014,8,3,25
2014,8,4,26.7
2014,8,5,28
2014,8,6,27.1
2014,8,7,27.5
2014,8,8,24.1
2014,8,9,23.2
2014,8,10,25.2
2014,8,11,25.4
2014,8,12,24.7
2014,8,13,26.1
2014,8,14,26.5
2014,8,15,27
2014,8,16,26
2014,8,17,25.9
2014,8,18,27.7
2014,8,19,28.5
2014,8,20,28.3
2014,8,21,28.2
2014,8,22,26.8
2014,8,23,27.2
2014,8,24,24.2
2014,8,25,25.1
2014,8,26,25.9
2014,8,27,25.1
2014,8,28,23
2014,8,29,23
2014,8,30,23.4
2014,8,31,24
2014,9,1,22.4
2014,9,2,23.8
2014,9,3,25
2014,9,4,25.5
2014,9,5,26.5
2014,9,6,24
2014,9,7,23.3
2014,9,8,22.9
2014,9,9,23.4
2014,9,10,23.1
2014,9,11,21.9
2014,9,12,20.1
2014,9,13,20.7
2014,9,14,21.3
2014,9,15,20.6
2014,9,16,22.5
2014,9,17,20.9
2014,9,18,19.8
2014,9,19,16.8
2014,9,20,17.9
2014,9,21,19.3
2014,9,22,20.7
2014,9,23,20.6
2014,9,24,21.2
2014,9,25,23.3
2014,9,26,21.2
2014,9,27,21.8
2014,9,28,20.8
2014,9,29,20.8
2014,9,30,20.8
2014,10,1,21.7
2014,10,2,20.2
2014,10,3,21.2
2014,10,4,19.8
2014,10,5,19.2
2014,10,6,19.3
2014,10,7,16.7
2014,10,8,16.8
2014,10,9,18.5
2014,10,10,20.7
2014,10,11,19.6
2014,10,12,19.7
2014,10,13,17.7
2014,10,14,15.5
2014,10,15,12.9
2014,10,16,13.6
2014,10,17,13.7
2014,10,18,12.9
2014,10,19,14.7
2014,10,20,16.3
2014,10,21,19.3
2014,10,22,16
2014,10,23,14.4
2014,10,24,12.6
2014,10,25,13.7
2014,10,26,16.4
2014,10,27,15
2014,10,28,10.4
2014,10,29,10.4
2014,10,30,14.1
2014,10,31,15
2014,11,1,16.5
2014,11,2,18.1
2014,11,3,11.4
2014,11,4,10
2014,11,5,12.6
2014,11,6,14.2
2014,11,7,12.6
2014,11,8,11.2
2014,11,9,11.6
2014,11,10,13.5
2014,11,11,12.3
2014,11,12,12.5
2014,11,13,9
2014,11,14,5.9
2014,11,15,6.7
2014,11,16,8
2014,11,17,8.3
2014,11,18,7.7
2014,11,19,7.3
2014,11,20,6.8
2014,11,21,7.4
2014,11,22,10.8
2014,11,23,10.2
2014,11,24,10
2014,11,25,12.5
2014,11,26,12.8
2014,11,27,10.3
2014,11,28,12.4
2014,11,29,14.9
2014,11,30,12.1
2014,12,1,13
2014,12,2,4.2
2014,12,3,4.7
2014,12,4,5.8
2014,12,5,2.9
2014,12,6,2.4
2014,12,7,2.6
2014,12,8,3.3
2014,12,9,4.8
2014,12,10,6.4
2014,12,11,7.8
2014,12,12,5.7
2014,12,13,2.3
2014,12,14,2.2
2014,12,15,2.2
2014,12,16,3.3
2014,12,17,0
2014,12,18,-0.4
2014,12,19,1.4
2014,12,20,2.9
2014,12,21,3.4
2014,12,22,1.7
2014,12,23,4.1
2014,12,24,2.2
2014,12,25,3.6
2014,12,26,2
2014,12,27,3
2014,12,28,2.3
2014,12,29,5
2014,12,30,3.3
2014,12,31,3.1
